"trait","n_snps","n_genes_in_rds"
"1-heptadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine",6085245,164
"11,14,17-Eicosatrienoic acid,(Z,Z,Z)-",6085245,6682
"13-Keto-9Z,11E-octadecadienoic acid",6085245,3485
"13S-HOTrE",6085245,3485
"3-Epilupeol",6085245,5
"8(9)-Epoxy-5Z,11Z,14Z-eicosatrienoic acid, methyl ester",6085245,58
"9,12,13,TriHODE",6085245,1308
"AEG(o-15:2_15:0)",6085245,1373
"AEG(o-16:2_16:0)",6085245,38
"AEG(o-16:2_18:2)",6085245,76
"AEG(o-16:3_16:0)",6085245,61
"AEG(o-18:3_16:1)",6085245,220
"AEG(o-18:4_16:1)",6085245,32
"AEG(o-18:4_18:2)",6085245,122
"Alpha-Carotene",6085245,42
"alpha-Tocopherol",6085245,829
"Antheraxanthin",6085245,145
"Apocarotenal",6085245,149
"beta-Carotene",6085245,42
"Cer(24:1)",6085245,752
"Cycloartenol acetate",6085245,214
"DG(12:0_12:0)",6085245,20
"DG(16:0_18:1)",6085245,232
"DG(16:0_18:2)",6085245,131
"DG(16:0_18:3)",6085245,90
"DG(16:1_18:2)",6085245,71
"DG(16:1_18:3)",6085245,262
"DG(18:0_18:2_0:0)",6085245,177
"DG(18:0_20:3)",6085245,335
"DG(18:1_18:1)",6085245,29
"DG(18:1_18:2)",6085245,157
"DG(18:1_18:3)",6085245,99
"DG(18:1_2:0)",6085245,8
"DG(18:2_18:2)",6085245,146
"DG(18:2_18:3)",6085245,239
"DG(18:3_18:3)",6085245,26
"DG(8:0_8:0)",6085245,689
"DGDG(16:0_18:1)",6085245,239
"DGDG(16:0_18:2)",6085245,138
"DGDG(16:0_18:3)",6085245,134
"DGDG(18:0_18:2)",6085245,137
"DGDG(18:0_18:3)",6085245,150
"DGDG(18:2_18:3)",6085245,696
"DGDG(18:2_18:4)",6085245,54
"DGTS(34:5)",6085245,957
"FA(22:1)",6085245,2624
"Fucosterol",6085245,148
"GalCer(d18:2_18:1)",6085245,31
"GalCer(d18:2_20:1)",6085245,141
"gamma-sitosterol",6085245,95
"gibberellic acid",6085245,27
"Glycerol Tri-n-octanoate - 40.0 eV",6085245,527
"Hydroperoxy fatty acid (18:3)",6085245,1244
"LPC(16:0_0:0)",6085245,380
"LPC(18:3)",6085245,37
"LPE(16:0_0:0)",6085245,260
"Lupeol",6085245,280
"Lutein",6085245,84
"Lycopene",6085245,47
"MG(12:0)",6085245,102
"MG(16:0)",6085245,163
"MG(18:1)",6085245,29
"MG(18:2)",6085245,288
"MG(18:3)",6085245,57
"MGDG(16:0_18:1)",6085245,1292
"MGDG(16:0_18:3)",6085245,117
"MGDG(18:2_18:2)",6085245,283
"MGDG(18:2_18:3)",6085245,252
"MGDG(18:3_18:3)",6085245,69
"NAE(16:0)",6085245,722
"NAE(18:0)",6085245,1502
"Oxo fatty acid (18:3)",6085245,1335
"oxobutanoic acid",6085245,160
"PA(16:0_18:1)",6085245,34
"PA(16:0_18:2)",6085245,1
"Panaxcerol B",6085245,104
"PC(14:0_14:0)",6085245,97
"PC(14:0_18:0)",6085245,190
"PC(14:0_18:2)",6085245,620
"PC(14:0_18:3)",6085245,698
"PC(14:0_22:5)",6085245,83
"PC(14:0_22:6)",6085245,20
"PC(16:0_16:0)",6085245,183
"PC(16:0_18:0)",6085245,99
"PC(16:0_18:1)",6085245,275
"PC(16:0_18:2)",6085245,88
"PC(16:0_18:3)",6085245,27
"PC(16:0_20:1)",6085245,803
"PC(16:0_20:3)",6085245,439
"PC(16:0_20:4)",6085245,105
"PC(16:0_20:5)",6085245,26
"PC(16:0_22:5)",6085245,407
"PC(16:0_22:6)",6085245,462
"PC(16:1_16:1)",6085245,764
"PC(16:1_18:2)",6085245,30
"PC(16:1_20:4)",6085245,40
"PC(16:1_20:5)",6085245,522
"PC(16:2_16:1)",6085245,205
"PC(18:0_18:1)",6085245,296
"PC(18:0_18:2)",6085245,139
"PC(18:0_18:3)",6085245,254
"PC(18:0_20:2)",6085245,693
"PC(18:0_20:3)",6085245,272
"PC(18:0_20:4)",6085245,812
"PC(18:1_16:0)",6085245,216
"PC(18:1_18:1)",6085245,244
"PC(18:1_18:2)",6085245,233
"PC(18:1_20:1)",6085245,249
"PC(18:1_20:4)",6085245,1640
"PC(18:1_24:1)",6085245,319
"PC(18:2_0:0)",6085245,133
"PC(18:2_18:2)",6085245,11
"PC(18:2_20:0)",6085245,268
"PC(18:2_20:4)",6085245,7236
"PC(18:3_0:0)",6085245,603
"PC(18:3_18:3)",6085245,37
"PE(12:0_12:0)",6085245,152
"PE(14:0_22:6)",6085245,55
"PE(16:0_0:0)",6085245,95
"PE(16:0_18:0)",6085245,260
"PE(16:0_18:1)",6085245,274
"PE(16:0_18:2)",6085245,205
"PE(16:0_18:3)",6085245,159
"PE(16:0_20:4)",6085245,20
"PE(16:0_20:5)",6085245,146
"PE(16:1_18:2)",6085245,29
"PE(18:0_18:2)",6085245,37
"PE(18:0_18:3)",6085245,196
"PE(18:1_18:1)",6085245,189
"PE(18:2_18:2)",6085245,221
"PE(18:2_18:3)",6085245,261
"PE(18:3_18:3)",6085245,25
"PG(16:0_16:0)",6085245,151
"PG(16:0_18:0)",6085245,71
"PG(16:0_18:1)",6085245,31
"Phytosphingosine",6085245,6
"PS(18:0_18:2)",6085245,205
"SM(d18:1_17:0)",6085245,482
"SQDG(16:0_14:0)",6085245,34
"SQDG(16:0_16:0)",6085245,402
"SQDG(16:0_18:1)",6085245,1790
"SQDG(16:0_18:2)",6085245,137
"SQDG(16:0_18:3)",6085245,404
"SQDG(16:1_18:3)",6085245,31
"SQDG(18:0_18:3)",6085245,66
"SQDG(18:1_18:3)",6085245,101
"SQDG(18:2_18:3)",6085245,207
"SQDG(18:3_18:3)",6085245,850
"TG(10:0_10:0_10:0)",6085245,359
"TG(10:0_10:0_14:0)",6085245,72
"TG(10:0_12:0_14:0)",6085245,22
"TG(10:0_12:0_16:0)",6085245,4
"TG(10:0_14:0_16:0)",6085245,48
"TG(10:0_16:0_16:0)",6085245,19
"TG(12:0_12:0_12:0)",6085245,23
"TG(12:0_12:0_14:0)",6085245,3
"TG(12:0_12:0_18:1)",6085245,48
"TG(12:0_14:0_16:0)",6085245,89
"TG(12:0_14:0_18:1)",6085245,26
"TG(12:0_16:0_16:0)",6085245,443
"TG(12:0_16:0_18:1)",6085245,42
"TG(12:0_16:0_18:3)",6085245,189
"TG(12:0_18:1_18:3)",6085245,1575
"TG(12:0_18:2_18:3)",6085245,3303
"TG(14:0_14:0_16:1)",6085245,401
"TG(14:0_14:0_18:0)",6085245,443
"TG(14:0_14:1_18:1)",6085245,186
"TG(14:0_16:0_18:1)",6085245,505
"TG(14:0_16:0_18:2)",6085245,207
"TG(14:0_16:1_18:2)",6085245,81
"TG(14:0_16:1_22:6)",6085245,328
"TG(14:0_18:1_18:1)",6085245,266
"TG(14:0_18:1_18:2)",6085245,165
"TG(14:0_18:1_18:3)",6085245,419
"TG(14:0_18:2_18:3)",6085245,3266
"TG(14:0_18:3_18:3)",6085245,2775
"TG(16:0_16:0_16:0)",6085245,162
"TG(16:0_16:0_18:1)",6085245,74
"TG(16:0_16:0_20:1)",6085245,115
"TG(16:0_16:0_20:3)",6085245,57
"TG(16:0_18:0_18:2)",6085245,208
"TG(16:0_18:0_22:1)",6085245,160
"TG(16:0_18:1_18:2)",6085245,73
"TG(16:0_18:1_18:3)",6085245,108
"TG(16:0_18:1_20:0)",6085245,410
"TG(16:0_18:1_20:2)",6085245,41
"TG(16:0_18:1_22:0)",6085245,404
"TG(16:0_18:2_18:3)",6085245,1354
"TG(16:0_18:2_22:0)",6085245,514
"TG(16:0_18:3_18:3)",6085245,60
"TG(16:1_16:1_22:5)",6085245,854
"TG(16:1_20:1_20:2)",6085245,675
"TG(18:0_18:0_18:2)",6085245,242
"TG(18:0_18:1_18:2)",6085245,59
"TG(18:0_18:1_22:0)",6085245,437
"TG(18:0_18:2_18:2)",6085245,199
"TG(18:0_18:2_18:3)",6085245,426
"TG(18:0_18:2_20:1)",6085245,456
"TG(18:0_18:2_22:0)",6085245,134
"TG(18:1_18:1_18:1)",6085245,694
"TG(18:1_18:1_18:2)",6085245,45
"TG(18:1_18:1_20:3)",6085245,421
"TG(18:1_18:2_18:2)",6085245,2217
"TG(18:1_18:2_18:3)",6085245,456
"TG(18:1_18:2_22:0)",6085245,671
"TG(18:1_18:3_22:0)",6085245,325
"TG(18:1_20:3_22:0)",6085245,407
"TG(18:2_18:2_18:4)",6085245,461
"TG(18:2_18:2_22:1)",6085245,574
"TG(18:2_18:3_20:1)",6085245,1074
"TG(18:2_18:3_20:3)",6085245,307
"TG(18:2_18:3_22:1)",6085245,723
"TG(18:2_20:2_22:2)",6085245,1411
"TG(18:2_20:3_22:0)",6085245,1075
"TG(18:3_18:3_18:3)",6085245,583
"TG(18:3_18:3_20:3)",6085245,375
"TG(8:0_10:0_10:0)",6085245,688
"Ubidecarenone",6085245,252
"Ubiquinone 9",6085245,145
"Vitamin K1",6085245,50
"Zeaxanthin",6085245,38
