speed,dist,average_dist
4,2,2
4,10,0.4
7,4,1.75
7,22,0.318181818181818
8,16,0.5
9,10,0.9
10,18,0.555555555555556
10,26,0.384615384615385
10,34,0.294117647058824
11,17,0.647058823529412
11,28,0.392857142857143
12,14,0.857142857142857
12,20,0.6
12,24,0.5
12,28,0.428571428571429
13,26,0.5
13,34,0.382352941176471
13,34,0.382352941176471
13,46,0.282608695652174
14,26,0.538461538461538
14,36,0.388888888888889
14,60,0.233333333333333
14,80,0.175
15,20,0.75
15,26,0.576923076923077
15,54,0.277777777777778
16,32,0.5
16,40,0.4
17,32,0.53125
17,40,0.425
17,50,0.34
18,42,0.428571428571429
18,56,0.321428571428571
18,76,0.236842105263158
18,84,0.214285714285714
19,36,0.527777777777778
19,46,0.41304347826087
19,68,0.279411764705882
20,32,0.625
20,48,0.416666666666667
20,52,0.384615384615385
20,56,0.357142857142857
20,64,0.3125
22,66,0.333333333333333
23,54,0.425925925925926
24,70,0.342857142857143
24,92,0.260869565217391
24,93,0.258064516129032
24,120,0.2
25,85,0.294117647058824
