Reaction_branch,GeneID,Role_label,annotation,Condition,GWAS_type,Source,Best_SNP,Best_P_Value,N_Phenotypes,N_linked,linked_fraction,N_direct_ratio,direct_ratio_fraction,linked_examples,direct_ratio_examples
LCAT* (PC+DG <-> LPC+TG),SORBI_3001G103800,LCAT-like 1,Lecithin-cholesterol acyltransferase-like 1;SORBI_3001G103800;PTN004259986;orthologs,LIN,Individual,S8_lowinput,SNP_7987166,3.13e-12,4,2,0.5,0,0,PC(18:2_20:4); TG(14:0_18:3_18:3),
LCAT* (PC+DG <-> LPC+TG),SORBI_3001G103800,LCAT-like 1,Lecithin-cholesterol acyltransferase-like 1;SORBI_3001G103800;PTN004259986;orthologs,LIN,SumRatio,S9_lowinput,SNP_7987166,3.13e-12,15,12,0.8,2,0.133,Sum_DG_over_AEG_log10safe; Sum_DG_over_DGDG_log10safe; Sum_DG_over_GalCer_log10safe; Sum_DG_over_LPC_log10safe; Sum_DG_over_LPE_log10safe,Sum_DG_over_LPC_log10safe; Sum_DG_over_TG_log10safe
LCAT* (PC+DG <-> LPC+TG),SORBI_3001G448800,LCAT-like 1 paralog,Lecithin-cholesterol acyltransferase-like 1;SORBI_3001G448800;PTN004259905;orthologs,LIN,Individual,S8_lowinput,SNP_72626995,2.53e-10,1,0,0,0,0,,
LCAT* (PC+DG <-> LPC+TG),SORBI_3006G214500,LCAT-like 4,Lecithin-cholesterol acyltransferase-like 4;SORBI_3006G214500;PTN004259842;orthologs,LIN,Individual,S8_lowinput,SNP_56290997,4.11e-10,4,1,0.25,0,0,DG(18:2_18:3),
LCAT* (PC+DG <-> LPC+TG),SORBI_3006G214500,LCAT-like 4,Lecithin-cholesterol acyltransferase-like 4;SORBI_3006G214500;PTN004259842;orthologs,LIN,SumRatio,S9_lowinput,SNP_56307749,8.32e-8,1,0,0,0,0,,
LCAT* (PC+DG <-> LPC+TG),SORBI_3001G103800,LCAT-like 1,Lecithin-cholesterol acyltransferase-like 1;SORBI_3001G103800;PTN004259986;orthologs,CTL,SumRatio,S9_control,SNP_7972773,6.5e-8,1,1,1,0,0,Sum_PC_over_PE_log10safe,
LCAT* (PC+DG <-> LPC+TG),SORBI_3001G448800,LCAT-like 1 paralog,Lecithin-cholesterol acyltransferase-like 1;SORBI_3001G448800;PTN004259905;orthologs,CTL,SumRatio,S9_control,SNP_72605500,7.63e-8,2,1,0.5,0,0,Sum_PC_over_GalCer_log10safe,
PNPLA1 branch (TG <-> DG),SORBI_3001G041900,PNPLA-domain TAG lipase-like,PNPLA domain-containing protein;SORBI_3001G041900;PTN004457248;orthologs,LIN,Individual,S8_lowinput,SNP_3152951,1.13e-9,3,3,1,0,0,TG(16:1_20:1_20:2); TG(18:1_18:2_22:0); TG(18:2_18:3_20:3),
PNPLA1 branch (TG <-> DG),SORBI_3001G041900,PNPLA-domain TAG lipase-like,PNPLA domain-containing protein;SORBI_3001G041900;PTN004457248;orthologs,LIN,SumRatio,S9_lowinput,SNP_3152951,2.02e-9,5,5,1,0,0,Sum_SM_over_TG_log10safe; Sum_SQDG_over_TG_log10safe; Sum_TG_over_SM_log10safe; Sum_TG_over_SQDG_log10safe; TG,
PNPLA1 branch (TG <-> DG),SORBI_3010G270700,GDSL esterase/lipase-like,GDSL esterase_lipase;SORBI_3010G270700;PTN005223057;orthologs,LIN,SumRatio,S9_lowinput,SNP_60513092,3.07e-8,2,1,0.5,0,0,Sum_LPC_over_TG_log10safe,
PNPLA1 branch (TG <-> DG),SORBI_3001G041900,PNPLA-domain TAG lipase-like,PNPLA domain-containing protein;SORBI_3001G041900;PTN004457248;orthologs,CTL,Individual,S8_control,SNP_3133155,1.47e-8,2,0,0,0,0,,
TG-DG synthesis arm,SORBI_3010G170000,DGAT1,O-acyltransferase;SORBI_3010G170000;PTN004157788;orthologs,LIN,Individual,S8_lowinput,SNP_50134510,3.16e-15,5,5,1,0,0,TG(18:1_18:3_22:0); TG(18:1_20:3_22:0); TG(18:2_18:2_18:4); TG(18:2_20:3_22:0); TG(18:3_18:3_18:3),
TG-DG synthesis arm,SORBI_3010G170000,DGAT1,O-acyltransferase;SORBI_3010G170000;PTN004157788;orthologs,LIN,SumRatio,S9_lowinput,SNP_50111070,2.76e-10,17,2,0.118,0,0,Sum_Cer_over_DG_log10safe; Sum_Cer_over_TG_log10safe,
TG-DG synthesis arm,SORBI_3009G034600,DGAT-like,Diacylglycerol acyltransferase;SORBI_3009G034600;;orthologs,LIN,Individual,S8_lowinput,SNP_3190673,1.75e-9,3,2,0.667,0,0,TG(14:0_18:1_18:3); TG(18:1_18:2_18:2),
