"Module","Mean_SHAP","SD_SHAP","CI_Lower","CI_Upper","Rank","N_Lipids","Classes","Dominant_Class"
"M1",14.07451612217,2.6435415302092,8.93416168644881,18.527206327537,1,22,"PA, TG","TG"
"M7",2.33870400015517,1.12427471675719,0.794093395861556,5.11098609802917,2,13,"TG","TG"
"M9",1.70277533279405,0.700527946570584,0.598099188184777,3.03495565473414,3,10,"PC, PS","PC"
"M6",1.36289715701211,0.548656782670561,0.668144171623319,2.62986441814935,4,15,"TG","TG"
"M14",1.35648852015624,0.762318635775857,0.50043272564124,3.52429869099354,5,5,"AEG, Cer, Other","Other"
"M22",1.302155874336,0.792136549794953,0.148646303630946,3.08142698840693,6,4,"FA, MG, Other","Other"
"M26",1.21574525695015,0.738073153222579,0.317916483429855,3.1371140073565,7,3,"MGDG, SQDG","SQDG"
"M4",1.20142367977096,0.604435420936488,0.474447847145014,2.48632714892086,8,17,"AEG, DG, DGDG, MG, MGDG, PG, SQDG, TG","DG"
"M11",1.18529972368446,0.81349511187938,0.407353587449664,3.83430435553876,9,6,"Other, PC","Other"
"M5",1.14978666501628,0.390368876783983,0.591090604849438,1.89464794007447,10,15,"AEG, Other, PC, PE","PC"
"M2",1.08781001196532,0.41997670545441,0.535222648083779,2.29461349054097,11,22,"PC, PE","PC"
"M13",0.972770031022035,0.299755070498853,0.439419013147522,1.53843954769076,12,6,"DG, MG, Other","DG"
"M3",0.930862608455783,0.306633696304635,0.567134542403684,1.52556114251806,13,22,"DG, DGDG, GalCer, MG, MGDG, Other, SQDG, TG","Other"
"M17",0.764269187271681,0.769989950483215,0.114274033265136,2.89190782387231,14,4,"Other","Other"
"M8",0.699511503617194,0.369477842680491,0.269554876160439,1.69087706824385,15,12,"Cer, DG, DGDG, MG, Other, PE, SQDG","DG"
"M12",0.590671371903623,0.330438774124072,0.252562374304997,1.35551573198828,16,6,"Other, TG","TG"
"M27",0.586909704212546,0.43080248915972,0.212721833867236,1.79190894834213,17,3,"Other, PE, PG","Other"
"M19",0.579854150391667,0.306609294521941,0.223414393477924,1.18025220726572,18,4,"AEG, PG, PS","AEG"
"M16",0.544761458470897,0.594776370556478,0.103044753492321,1.44684113254127,19,4,"DG, LPC, LPE, PE","DG"
"M10",0.378811345778263,0.217953661218481,0.179851063393829,0.941835008114068,20,7,"TG","TG"
"M15",0.314824630334123,0.143917399937886,0.088084224641512,0.644643287566247,21,5,"TG","TG"
"M20",0.306074640981048,0.115117214224671,0.107215256710901,0.568380393497447,22,4,"TG","TG"
"M18",0.280522498881698,0.181688381258082,0.0676052577754187,0.78332383279122,23,4,"PC","PC"
"M21",0.264317459001043,0.183335074370345,0.06468653781683,0.772050897439817,24,4,"Other","Other"
"M23",0.214292824692673,0.107292286270975,0.0861763079604399,0.456283463274546,25,3,"LPC, MG, PC","LPC"
"M24",0.197694777546083,0.105552659202756,0.044365155706052,0.446929621404684,26,3,"PC","PC"
"M25",0.195101428985663,0.103098266678326,0.0642544863669035,0.447763594090567,27,3,"SQDG","SQDG"
