"Environment","Module","MeanAbsSHAP","Rank"
"Ours_DTA","M1",1.19793139066314,1
"Ours_DTA","M7",0.864079846382064,2
"Ours_DTA","M6",0.832037982037144,3
"Ours_DTA","M22",0.712466029964115,4
"Ours_DTA","M2",0.537385496245268,5
"Ours_DTA","M18",0.514307293570991,6
"Ours_DTA","M3",0.51044876568294,7
"Ours_DTA","M5",0.476710535387873,8
"Ours_DTA","M4",0.44913723142965,9
"Ours_DTA","M13",0.405281484789265,10
"Ours_DTA","M9",0.325821735677479,11
"Ours_DTA","M19",0.319489662803185,12
"Ours_DTA","M23",0.291316543278243,13
"Ours_DTA","M15",0.286046721403782,14
"Ours_DTA","M8",0.275145474922138,15
"Ours_DTA","M20",0.245836417385194,16
"Ours_DTA","M17",0.228839362549854,17
"Ours_DTA","M14",0.227130148288648,18
"Ours_DTA","M27",0.209841814606853,19
"Ours_DTA","M24",0.20888263973948,20
"Ours_DTA","M12",0.20754111450706,21
"Ours_DTA","M10",0.191583098105915,22
"Ours_DTA","M16",0.184412383510564,23
"Ours_DTA","M11",0.181504180080772,24
"Ours_DTA","M26",0.175016350144094,25
"Ours_DTA","M21",0.15113633148064,26
"Ours_DTA","M25",0.0566478937470277,27
"MI20","M6",22.1010739825118,1
"MI20","M1",19.7812101368091,2
"MI20","M7",16.8960110909878,3
"MI20","M14",13.8805266809019,4
"MI20","M2",11.8582803698418,5
"MI20","M3",11.8518318181557,6
"MI20","M13",9.51598806163545,7
"MI20","M5",9.09933204060872,8
"MI20","M8",8.74910510413408,9
"MI20","M4",8.16972160911423,10
"MI20","M16",7.76562674736649,11
"MI20","M19",6.34224387208067,12
"MI20","M9",5.97880048678679,13
"MI20","M27",5.91079103326148,14
"MI20","M22",5.6728363783226,15
"MI20","M10",5.54550129462506,16
"MI20","M26",5.45709101603441,17
"MI20","M17",4.4839107635378,18
"MI20","M11",4.44045825326814,19
"MI20","M20",4.30742653238607,20
"MI20","M23",3.68945170650841,21
"MI20","M21",3.43222221626719,22
"MI20","M15",3.18599433714149,23
"MI20","M12",3.05088802813185,24
"MI20","M18",2.87717236820835,25
"MI20","M25",2.85747300284856,26
"MI20","M24",1.23401340728176,27
"NE20","M7",16.1790979995403,1
"NE20","M5",12.2376562454073,2
"NE20","M2",11.5784819969413,3
"NE20","M3",9.96932298284623,4
"NE20","M13",9.08192568532837,5
"NE20","M1",9.05905951484966,6
"NE20","M16",8.30153517558648,7
"NE20","M6",7.80900113968048,8
"NE20","M8",7.00288640138344,9
"NE20","M14",6.32203382295396,10
"NE20","M4",6.06111011256888,11
"NE20","M11",5.56421505524625,12
"NE20","M20",5.4071366847921,13
"NE20","M19",5.31487967018877,14
"NE20","M22",5.20091787480635,15
"NE20","M9",4.82105773914751,16
"NE20","M12",4.03300381860302,17
"NE20","M27",3.95729256990826,18
"NE20","M26",3.73224620775242,19
"NE20","M10",3.71100232846254,20
"NE20","M18",3.40029759282069,21
"NE20","M21",3.27018557096228,22
"NE20","M23",3.1966293120841,23
"NE20","M25",2.76143696604268,24
"NE20","M15",2.60059485494487,25
"NE20","M17",2.33629608092922,26
"NE20","M24",1.38516453453059,27
"IA21_1","M20",29.3090488795313,1
"IA21_1","M2",27.5270947530284,2
"IA21_1","M10",25.473529710234,3
"IA21_1","M5",15.1851930441571,4
"IA21_1","M11",13.7300289450538,5
"IA21_1","M1",13.4626437362036,6
"IA21_1","M3",13.3555344440237,7
"IA21_1","M6",9.26581162426479,8
"IA21_1","M27",9.23863437854025,9
"IA21_1","M22",7.98188359058194,10
"IA21_1","M13",7.76309415667253,11
"IA21_1","M24",6.35871522959699,12
"IA21_1","M14",5.42811742434396,13
"IA21_1","M7",5.32528091440142,14
"IA21_1","M8",5.20427409110921,15
"IA21_1","M4",5.05293714080177,16
"IA21_1","M17",4.02491217302276,17
"IA21_1","M12",3.77920380395268,18
"IA21_1","M19",3.0474050503233,19
"IA21_1","M15",2.3869523067157,20
"IA21_1","M21",2.13885545361156,21
"IA21_1","M9",1.89026387011679,22
"IA21_1","M25",1.54289733202276,23
"IA21_1","M26",1.37203988259145,24
"IA21_1","M23",1.21020726482914,25
"IA21_1","M16",1.1612720745262,26
"IA21_1","M18",0.71187340322207,27
"IA21_2","M11",18.5575420909762,1
"IA21_2","M20",14.3790623646088,2
"IA21_2","M2",13.5120230695775,3
"IA21_2","M1",9.78122634727149,4
"IA21_2","M5",9.36992907402831,5
"IA21_2","M16",9.29039480228897,6
"IA21_2","M13",9.13085768951245,7
"IA21_2","M22",8.53596897618963,8
"IA21_2","M6",7.94768983652061,9
"IA21_2","M27",6.76446729220591,10
"IA21_2","M4",6.70712511607518,11
"IA21_2","M3",6.39670705992494,12
"IA21_2","M14",6.02374217348008,13
"IA21_2","M10",5.63266777460864,14
"IA21_2","M8",5.49398424288794,15
"IA21_2","M9",4.96895176043905,16
"IA21_2","M17",4.29074405511558,17
"IA21_2","M19",3.21312857164023,18
"IA21_2","M7",2.87587789005137,19
"IA21_2","M26",2.65556081732782,20
"IA21_2","M23",2.1777701993131,21
"IA21_2","M18",2.11328519636889,22
"IA21_2","M25",1.84878136691508,23
"IA21_2","M12",1.44681814018507,24
"IA21_2","M15",1.29064207237444,25
"IA21_2","M24",1.02103979757411,26
"IA21_2","M21",1.00243187054721,27
