"Ratio","n_C","n_LI","median_C","median_LI","effect_log10","effect_fc","direction","p_wilcox","p_adj_BH","significance","jackknife_stability"
"MG/SQDG",394,363,-0.121,0.5761,0.697,4.98,"LI > C","4.08e-125","1.47e-124","***",1
"MG/MGDG",394,363,-1.341,-0.7751,0.5659,3.68,"LI > C","4.08e-125","1.47e-124","***",1
"PS/SQDG",394,363,-0.9917,0.1126,1.1043,12.71,"LI > C","4.08e-125","1.47e-124","***",1
"DGDG/MG",394,363,0.9894,0.5746,-0.4148,0.38,"LI < C","4.08e-125","1.47e-124","***",1
"PG/SQDG",394,363,0.1939,0.6139,0.42,2.63,"LI > C","4.11e-125","1.47e-124","***",1
"DG/MG",394,363,0.3912,-0.0831,-0.4743,0.34,"LI < C","4.08e-125","1.47e-124","***",1
"PE/SQDG",394,363,0.1853,0.6258,0.4406,2.76,"LI > C","4.27e-125","1.47e-124","***",1
"DG/PS",394,363,1.273,0.3728,-0.9001,0.13,"LI < C","4.89e-125","1.47e-124","***",1
"LPC/MG",394,363,-0.0209,-0.5475,-0.5266,0.3,"LI < C","4.27e-125","1.47e-124","***",1
"PS/MGDG",394,363,-2.212,-1.2414,0.9705,9.34,"LI > C","4.78e-125","1.47e-124","***",1
"PS/DG",394,363,-1.273,-0.3728,0.9001,7.95,"LI > C","4.89e-125","1.47e-124","***",1
"LPC/PS",394,363,0.8547,-0.0941,-0.9488,0.11,"LI < C","6.11e-125","1.68e-124","***",1
"DGDG/PS",394,363,1.8636,1.0403,-0.8233,0.15,"LI < C","8.19e-125","1.73e-124","***",1
"PC/PS",394,363,0.9341,0.1775,-0.7566,0.18,"LI < C","8.38e-125","1.73e-124","***",1
"LPE/SQDG",394,363,-0.9546,-0.3722,0.5825,3.82,"LI > C","7.27e-125","1.73e-124","***",1
"PS/PC",394,363,-0.9341,-0.1775,0.7566,5.71,"LI > C","8.38e-125","1.73e-124","***",1
"MG/PG",394,363,-0.3134,-0.0297,0.2836,1.92,"LI > C","2.22e-124","4.31e-124","***",1
"MGDG/PG",394,363,1.0268,0.7447,-0.282,0.52,"LI < C","2.75e-124","4.53e-124","***",1
"LPC/LPE",394,363,0.8195,0.4001,-0.4194,0.38,"LI < C","2.60e-124","4.53e-124","***",1
"PG/MGDG",394,363,-1.0268,-0.7447,0.282,1.91,"LI > C","2.75e-124","4.53e-124","***",1
"PA/PS",394,363,0.4076,-0.7711,-1.1787,0.07,"LI < C","4.59e-124","7.21e-124","***",1
"PE/PS",394,363,1.1665,0.521,-0.6455,0.23,"LI < C","5.68e-124","8.52e-124","***",1
"PG/PS",394,363,1.1859,0.5005,-0.6854,0.21,"LI < C","1.08e-123","1.54e-123","***",1
"PC/SQDG",394,363,-0.0552,0.3036,0.3589,2.29,"LI > C","7.54e-122","1.04e-121","***",1
"MGDG/PE",394,363,1.0449,0.7259,-0.3189,0.48,"LI < C","1.52e-120","2.01e-120","***",1
"SQDG/TG",394,363,1.1002,0.5427,-0.5574,0.28,"LI < C","3.57e-120","4.54e-120","***",1
"LPE/MGDG",394,363,-2.1781,-1.739,0.4391,2.75,"LI > C","4.02e-120","4.91e-120","***",1
"TG/MGDG",394,363,-2.336,-1.9039,0.4321,2.7,"LI > C","2.17e-105","2.56e-105","***",1
"TG/DG",394,363,-1.3783,-1.0445,0.3338,2.16,"LI > C","5.70e-103","6.49e-103","***",1
"PG/DGDG",394,363,-0.6692,-0.5416,0.1276,1.34,"LI > C"," 1.52e-96"," 1.67e-96","***",1
"PE/PA",394,363,0.7866,1.2486,0.462,2.9,"LI > C"," 7.17e-89"," 7.63e-89","***",1
"TG/MG",394,363,-0.9909,-1.1249,-0.134,0.73,"LI < C"," 1.89e-44"," 1.95e-44","***",1
"TG/PE",394,363,-1.2926,-1.1773,0.1154,1.3,"LI > C"," 6.13e-17"," 6.13e-17","***",1
